tr_loss,va_loss,tr_l2_snr,va_l2_snr,tr_lsd,va_lsd,tr_pesq,va_pesq
0.07649431784044612,0.08386556059122086,21.1876727884466,21.668060302734375,1.15875859152187,1.197511076927185,3.0062833482568916,2.9332048892974854
0.0718326514417475,0.07916203141212463,22.39094352722168,23.549531936645508,1.1618485992605037,1.1987144947052002,3.256543137810447,3.1843795776367188
0.07158318128098141,0.07887948304414749,22.474027980457652,23.714187622070312,1.1652707728472622,1.1995562314987183,3.4380678046833384,3.394411563873291
0.07136138731783087,0.07864709198474884,22.546545895663176,23.840572357177734,1.1713553883812644,1.2048821449279785,3.480759555643255,3.450488328933716
0.0712893462993882,0.07858283817768097,22.56540211764249,23.874893188476562,1.17481576312672,1.2063982486724854,3.501601826060902,3.47786283493042
0.07123585553331808,0.07853923738002777,22.57680268721147,23.88935089111328,1.1781681992790916,1.2094500064849854,3.518291885202581,3.4959661960601807
0.07119418443603949,0.07850099354982376,22.584424452348188,23.897369384765625,1.1800639629364014,1.2105591297149658,3.528525807640769,3.5146000385284424
0.07115489718588916,0.07846808433532715,22.592690901322797,23.911359786987305,1.1813771237026562,1.2118443250656128,3.533996668728915,3.526423931121826
0.0711227066137574,0.07844090461730957,22.59800910949707,23.917646408081055,1.1831402128393,1.2137998342514038,3.5374249761754815,3.535599708557129
0.07108996842395175,0.07841530442237854,22.603277033025567,23.92336082458496,1.1842481710694053,1.215072512626648,3.5367935354059394,3.5404183864593506
0.07105984843590042,0.07839027792215347,22.60789507085627,23.929180145263672,1.1855684518814087,1.2161312103271484,3.5394291444258257,3.5486509799957275
0.07102785632014275,0.0783659815788269,22.612844813953746,23.93399429321289,1.186533196405931,1.2171046733856201,3.540568546815352,3.5516951084136963
0.07099860263141719,0.07834405452013016,22.617074272849344,23.93836784362793,1.1870465116067366,1.2179430723190308,3.541377761147239,3.55538010597229
0.07096754522486166,0.07832056283950806,22.62160960110751,23.942413330078125,1.1878167390823364,1.2183526754379272,3.5417732542211358,3.5582549571990967
0.07093905183401975,0.07830195128917694,22.6257060657848,23.9471435546875,1.1882533051750876,1.2186625003814697,3.538716294548728,3.5630693435668945
0.07090700519355861,0.07827587425708771,22.630102504383434,23.950000762939453,1.1882747194983743,1.2200696468353271,3.5375786044380884,3.5660455226898193
0.0708776546472853,0.07825593650341034,22.63471031188965,23.95575714111328,1.1892325336282903,1.2199698686599731,3.5399173389781606,3.567608594894409
0.07084647091952237,0.07823459059000015,22.638926939530805,23.95935821533203,1.1895442821762778,1.2200746536254883,3.537760756232522,3.5701751708984375
0.07081521200862798,0.07820983976125717,22.64304698597301,23.961471557617188,1.1899629668755964,1.2211015224456787,3.540404796600342,3.5742392539978027
0.07078304717486555,0.07818819582462311,22.64804562655362,23.968400955200195,1.1897921670566907,1.2211586236953735,3.5351196202364834,3.573714256286621
0.07075276530601761,0.07816416770219803,22.651832753961738,23.971668243408203,1.190479571169073,1.2217051982879639,3.533455805345015,3.5714352130889893
0.07071862268176946,0.07814086973667145,22.65674469687722,23.976634979248047,1.1903779669241472,1.2217378616333008,3.5320638960058037,3.5740609169006348
0.07068737122145566,0.0781204029917717,22.6609150279652,23.9805908203125,1.1905021559108386,1.2218787670135498,3.5293422612276943,3.5714118480682373
0.07065407593141902,0.07809554785490036,22.665347706187855,23.984535217285156,1.1906026926907627,1.2224520444869995,3.526284629648382,3.571514844894409
0.07062001018361612,0.07807180285453796,22.669603521173652,23.98727798461914,1.1900494477965615,1.2213349342346191,3.523501591248946,3.5675747394561768
0.07058313285762613,0.07804770022630692,22.674651926214043,23.991392135620117,1.1905133290724321,1.2221062183380127,3.5241605151783335,3.572991132736206
0.07054901631041006,0.07802535593509674,22.67892143943093,23.994516372680664,1.190544068813324,1.2219630479812622,3.521223089911721,3.566227674484253
0.07051179964434016,0.07799932360649109,22.68353999744762,23.99844741821289,1.190108678557656,1.2216482162475586,3.517480330033736,3.561779260635376
0.07047609510746869,0.07797633111476898,22.68802885575728,24.000877380371094,1.1900828589092602,1.2216399908065796,3.518293402411721,3.563669443130493
0.07044312764297832,0.07795257866382599,22.692088560624555,24.005027770996094,1.1895729140801863,1.2207839488983154,3.508584499359131,3.551590919494629
0.07040494612672112,0.07792767137289047,22.696694807572797,24.00742530822754,1.190064479004253,1.2211891412734985,3.5100363167849453,3.5544726848602295
0.0703647302632982,0.07790225744247437,22.701329838145863,24.009586334228516,1.1895274845036594,1.2204487323760986,3.5075510198419746,3.548961877822876
0.0703274638138034,0.07787847518920898,22.705475720492277,24.01168441772461,1.1884708458727056,1.2198939323425293,3.4968127554113213,3.541919469833374
0.07028207352215593,0.0778491199016571,22.71119568564675,24.015792846679688,1.1883777434175664,1.2190885543823242,3.495661063627763,3.5390448570251465
0.07024904001842845,0.07782991975545883,22.71428715098988,24.016130447387695,1.1870477307926526,1.2190289497375488,3.4894639145244253,3.5300216674804688
0.07020557942715558,0.07780265808105469,22.718766299161043,24.017547607421875,1.1862831657583064,1.2173712253570557,3.482416933233088,3.5274863243103027
0.07016242295503616,0.07777412980794907,22.723996075716887,24.019363403320312,1.1866981766440652,1.2175471782684326,3.4877597201954234,3.5286755561828613
0.07012622634118254,0.07775285840034485,22.726923162286933,24.016578674316406,1.1863562952388416,1.2176390886306763,3.4836262572895396,3.517989158630371
0.07007714157754724,0.07771769911050797,22.73359316045588,24.021488189697266,1.1858664642680774,1.2162508964538574,3.480687076395208,3.513838768005371
0.0700333108278838,0.07768978178501129,22.73840938914906,24.025352478027344,1.1850256378000432,1.2157351970672607,3.4747415455904873,3.5121359825134277
0.06999088722196492,0.07766388356685638,22.74234320900657,24.024208068847656,1.1839185573837974,1.2151663303375244,3.468106053092263,3.5038669109344482
0.0699439092793248,0.07762996852397919,22.747555299238726,24.027536392211914,1.1819969686594876,1.2124749422073364,3.4646114219318735,3.4938817024230957
0.06990305605259808,0.07760658860206604,22.75170100818981,24.0283145904541,1.1831640005111694,1.2134430408477783,3.469462047923695,3.50166392326355
0.06986145370385864,0.07758036255836487,22.75444759022106,24.021711349487305,1.182124224576083,1.2124618291854858,3.467648137699474,3.494795560836792
0.06982002779841423,0.07755178958177567,22.7592830657959,24.028106689453125,1.1807329221205278,1.210208773612976,3.4597115299918433,3.4840810298919678
0.06977354904467409,0.0775209367275238,22.76224708557129,24.021160125732422,1.1795637932690708,1.2100425958633423,3.4529138044877485,3.477234125137329
0.06972898068753156,0.077488973736763,22.767818104137074,24.027847290039062,1.178964988751845,1.2085702419281006,3.455649050799283,3.4811694622039795
0.06968265670267018,0.07746057212352753,22.77244758605957,24.028181076049805,1.1777453205802224,1.2075697183609009,3.4539053440093994,3.4717607498168945
0.06964349340308797,0.07743533700704575,22.775157408280805,24.02664566040039,1.1756502118977634,1.2066189050674438,3.4416345249522817,3.461245536804199
0.06959456103769215,0.07740385830402374,22.77954760464755,24.023630142211914,1.1752234480597756,1.2055481672286987,3.4456047144803135,3.4601547718048096
0.06955163113095543,0.07737402617931366,22.783715854991566,24.02471351623535,1.1743813265453686,1.2045478820800781,3.445921789516102,3.461458921432495
0.0695036764849316,0.07734077423810959,22.788202805952594,24.025367736816406,1.1728073033419522,1.2025494575500488,3.4430373148484663,3.4557857513427734
